file,prediction,ai_probability,prediction_name,ai_probability_percent
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/039 - South Park： Cartman in Squid Game ｜ South Park Parody ｜ Episode 1 ｜ Motionize_116.wav,1,0.9999988079071045,AI,99.99988079071045
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/230 - The Ultimate Spongebob Sora 2 Compilation_237.wav,1,0.9999986886978149,AI,99.9998688697815
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/087 - Sora 2 - Family Guy and South Park ｜ AI Cartoon Compilation #1_065.wav,1,0.9999986886978149,AI,99.9998688697815
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/192 - Lost Episodes Analog Horror Sora 2 (The Creepiest)_018.wav,1,0.9999986886978149,AI,99.9998688697815
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/025 - He needs someone to save him 😭_322.wav,1,0.9999986886978149,AI,99.9998688697815
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/135 - Unhinged Gumball AI Moments_003.wav,1,0.9999985694885254,AI,99.99985694885254
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/087 - Sora 2 - Family Guy and South Park ｜ AI Cartoon Compilation #1_047.wav,1,0.9999984502792358,AI,99.99984502792358
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/021 - Sora 2 Made Famous Characters Run From The Police 🚨😂_031.wav,1,0.9999984502792358,AI,99.99984502792358
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/093 - Sora 2 - Family Guy and South Park ｜ Sneakers O’Toole SPECIAL ｜ AI Cartoon Compilation #3.5_060.wav,1,0.9999983310699463,AI,99.99983310699463
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/059 - Sora 2 AI Best Family Guy Cutaways_003.wav,1,0.9999982118606567,AI,99.99982118606567
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/090 - Sora 2 S1E3_068.wav,1,0.9999980926513672,AI,99.99980926513672
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/021 - Sora 2 Made Famous Characters Run From The Police 🚨😂_009.wav,1,0.9999979734420776,AI,99.99979734420776
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/190 - Sora 2 lost episode compilation (FIXED+BONUS VIDEO)_267.wav,1,0.9999979734420776,AI,99.99979734420776
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/269 - UNHINGED CAILLOU Sora Compilation 2_164.wav,1,0.9999979734420776,AI,99.99979734420776
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/025 - He needs someone to save him 😭_279.wav,1,0.9999978542327881,AI,99.99978542327881
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/026 - Sora 2 SpongeBob & Other Funny Videos_000.wav,1,0.9999978542327881,AI,99.99978542327881
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/042 - Movie Studio Phone Ads_016.wav,1,0.9999978542327881,AI,99.99978542327881
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/089 - Movie Studios in Zombiewood (Halloween edition)_025.wav,1,0.9999977350234985,AI,99.99977350234985
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/012 - BEST SORA 2 AI MEMES EPISODE 1_064.wav,1,0.9999977350234985,AI,99.99977350234985
/home/jack/Videos/snip_4sec/garystafford/sp_0004_c_part_024.flac,1,0.999997615814209,AI,99.9997615814209
/home/jack/Videos/snip_4sec/garystafford/lv_0004_c_part_024.flac,1,0.999997615814209,AI,99.9997615814209
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/126 - Sora 2 Ai Disney & Pixar Film Trailers Compilation_028.wav,1,0.999997615814209,AI,99.9997615814209
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/059 - Sora 2 AI Best Family Guy Cutaways_000.wav,1,0.999997615814209,AI,99.9997615814209
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/025 - He needs someone to save him 😭_281.wav,1,0.999997615814209,AI,99.9997615814209
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/093 - Sora 2 - Family Guy and South Park ｜ Sneakers O’Toole SPECIAL ｜ AI Cartoon Compilation #3.5_053.wav,1,0.999997615814209,AI,99.9997615814209
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/025 - He needs someone to save him 😭_183.wav,1,0.9999974966049194,AI,99.99974966049194
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/037 - south park special episode： DOOMED DAD (made by ai)_028.wav,1,0.9999974966049194,AI,99.99974966049194
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/089 - Movie Studios in Zombiewood (Halloween edition)_004.wav,1,0.9999973773956299,AI,99.99973773956299
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/093 - Sora 2 - Family Guy and South Park ｜ Sneakers O’Toole SPECIAL ｜ AI Cartoon Compilation #3.5_045.wav,1,0.9999973773956299,AI,99.99973773956299
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/087 - Sora 2 - Family Guy and South Park ｜ AI Cartoon Compilation #1_050.wav,1,0.9999973773956299,AI,99.99973773956299
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/089 - Movie Studios in Zombiewood (Halloween edition)_020.wav,1,0.9999973773956299,AI,99.99973773956299
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/009 - SpongeBob Classic Scene： Everyone Has Ulterior Motives._073.wav,1,0.9999973773956299,AI,99.99973773956299
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/014 - Anime Videos Generated by SORA 2._051.wav,1,0.9999973773956299,AI,99.99973773956299
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/038 - What if Squidward's New Neighbor was Gumball？ A Nightmare Worse Than SpongeBob._157.wav,1,0.9999972581863403,AI,99.99972581863403
"/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/081 - Sora 2 - Family Guy, South Park, Rick & Morty, SpongeBob, and more! ｜ AI Cartoon Compilation #2_038.wav",1,0.9999971389770508,AI,99.99971389770508
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/105 - sora 2 stuff_049.wav,1,0.9999971389770508,AI,99.99971389770508
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/093 - Sora 2 - Family Guy and South Park ｜ Sneakers O’Toole SPECIAL ｜ AI Cartoon Compilation #3.5_035.wav,1,0.9999970197677612,AI,99.99970197677612
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/176 - Movie Studios presents： THE MOVIE STUDIOS_028.wav,1,0.9999970197677612,AI,99.99970197677612
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/026 - Sora 2 SpongeBob & Other Funny Videos_001.wav,1,0.9999969005584717,AI,99.99969005584717
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/090 - Sora 2 S1E3_062.wav,1,0.9999969005584717,AI,99.99969005584717
"/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/069 - Sora 2 - Family Guy, South Park, Spongebob, Donald Trump, and more! ｜ Al Cartoon Compilation #4_031.wav",1,0.9999967813491821,AI,99.99967813491821
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/089 - Movie Studios in Zombiewood (Halloween edition)_047.wav,1,0.9999967813491821,AI,99.99967813491821
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/089 - Movie Studios in Zombiewood (Halloween edition)_007.wav,1,0.9999966621398926,AI,99.99966621398926
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/040 - BEST SORA 2 AI MEMES EPISODE 6_483.wav,1,0.9999966621398926,AI,99.99966621398926
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/120 - Nickelodeon vs. Movie Studios -  SLIME Takeover!_039.wav,1,0.999996542930603,AI,99.9996542930603
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/037 - south park special episode： DOOMED DAD (made by ai)_002.wav,1,0.999996542930603,AI,99.9996542930603
